Date,CL1,PROD,INV,RIG,CRKSPD,POS,COPPER,IRON,SHIP,1Y1YF,DXY,ADXY,LACI
1/5/2007,56.31,5370,297470,279,4.987,20951,253.5,,,4.8838,84.64,108.81,109.02
1/12/2007,52.99,5317,304238,269,6.558,16994,260.3,,,5.0736,85.02,108.59,109.23
1/19/2007,51.99,5241,305027,275,7.836,42315,252.8,,,5.1146,84.86,108.87,109.63
1/26/2007,55.42,5224,307711,255,7.637,38787,264.05,,,5.2327,85.23,109.29,108.74
2/2/2007,59.02,5283,307193,264,6.588,41361,242.3,,,5.1622,84.96,109.02,109.56
2/9/2007,59.89,5316,306604,254,8.356,25924,252.05,,,5.1216,84.88,109.34,109.38
2/16/2007,59.39,5323,310298,267,8.376,47059,265.9,,,4.9868,84.06,109.41,109.86
2/23/2007,61.14,5285,311719,278,12.111,45367,285.1,,,4.9888,84.05,109.39,109.8
3/2/2007,61.64,5267,306822,290,13.189,50294,268.4,,,4.7473,83.74,109.06,108.5
3/9/2007,60.05,5218,308002,287,12.293,53015,278,,,4.837,84.25,109.27,109.39
3/16/2007,57.11,5235,311926,282,15.871,64992,301.1,,,4.7277,83.19,109.31,109.34
3/23/2007,62.28,5218,311080,281,13.575,39816,306.9,,,4.7254,83.28,109.89,110.58
3/30/2007,65.87,5243,315387,271,14.375,45395,314.6,,,4.7409,82.93,109.79,110.38
4/6/2007,64.28,5179,316219,283,18.874,71085,337.7,,,4.9218,82.992,110.07,111.33
4/13/2007,63.63,5125,315225,282,22.163,76542,353.6,,,4.9392,82.129,110.17,111.69
4/20/2007,63.38,5128,317299,292,18.58,70197,362.1,,,4.7701,81.643,110.51,111.77
4/27/2007,66.46,5089,318468,283,21.811,57522,353.25,,,4.827,81.529,110.35,112
5/4/2007,61.93,5131,323940,282,22.466,60817,375.85,,,4.8239,81.741,110.67,112.47
5/11/2007,62.37,5201,325001,282,27.235,47967,360.4,,,4.8812,82.116,110.71,113.42
5/18/2007,64.94,5207,326970,276,27.416,33888,332.35,,,5.0668,82.197,110.68,114.41
5/25/2007,65.2,5148,325014,287,27.064,65525,332.05,,,5.1304,82.331,110.8,114.75
6/1/2007,65.08,5180,325227,288,23.275,46848,340.5,,,5.3268,82.322,110.97,116.26
6/8/2007,64.76,5170,325309,291,18.373,63024,325.75,,,5.4225,82.691,110.51,114.08
6/15/2007,68,5093,332211,285,20.282,65711,342.15,,,5.4655,82.851,110.78,115.65
6/22/2007,69.14,5108,333773,271,19.584,102347,338.35,,,5.372,82.336,111,114.04
6/29/2007,70.68,5122,336924,281,16.197,86544,345.05,,,5.3049,81.92,111.16,114.68
7/6/2007,72.81,5198,335336,274,17.904,110698,359.45,,,5.458,81.465,111.48,115.69
7/13/2007,73.93,5201,334887,284,15.013,127482,359.3,,,5.3704,80.576,111.91,116.74
7/20/2007,75.57,5184,333784,287,11.225,139751,370.55,,,5.2046,80.288,112.13,116.78
7/27/2007,77.02,5206,327287,296,8.534,144082,354.7,,,4.9459,80.946,111.9,114.74
8/3/2007,75.48,5142,323326,306,8.466,160018,347.9,,,4.8703,80.177,111.62,114.74
8/10/2007,71.47,5192,318159,305,9.634,122364,335.95,,,4.911,80.679,111.19,113.63
8/17/2007,71.98,5119,320049,309,13.842,96038,314.75,,,4.759,81.426,110.47,110.2
8/24/2007,71.09,5161,316563,316,10.972,70754,335,,,4.8675,80.667,110.64,113.2
8/31/2007,74.04,5021,312591,300,11.525,66935,339.7,,,4.6971,80.791,110.77,112.57
9/7/2007,76.7,5129,305578,294,11.004,99589,325.15,,,4.3955,79.959,110.67,112.2
9/14/2007,79.1,5039,301704,298,11.053,102329,339.25,,,4.5018,79.617,111.37,113.94
9/21/2007,81.62,5027,303546,305,8.894,132509,359.25,,,4.5617,78.597,112.04,115.59
9/28/2007,81.66,5064,304684,311,8.18,126540,364,,,4.4457,77.719,112.56,116.52
10/5/2007,81.22,5059,302875,318,8.35,134350,372.55,,,4.6002,78.308,112.82,118.11
10/12/2007,83.69,5102,304659,319,6.091,134767,365.25,,,4.711,78.224,112.91,118.35
10/19/2007,88.6,5122,299371,320,4.81,134735,355.15,,,4.3166,77.407,112.86,117.98
10/26/2007,91.86,5114,295477,326,6.363,134033,353.75,,,4.2378,77.027,113.35,119.18
11/2/2007,95.93,5126,294517,335,8.213,140944,332.5,,,4.1733,76.337,113.6,119.84
11/9/2007,96.32,5134,297331,337,9.396,152283,314.55,,,4.067,75.4,113.98,118.86
11/16/2007,95.1,4942,296260,337,7.868,125337,319.9,,,3.9128,75.827,113.35,118.71
11/23/2007,98.18,5117,295808,343,9.214,132239,302.95,,,3.7254,75.053,113.39,116.96
11/30/2007,88.71,5133,287895,354,8.69,122909,318.45,,,3.5511,76.147,113.48,117.53
12/7/2007,88.28,5117,286806,340,9.122,108460,312.6,,,3.7309,76.288,113.92,119.13
12/14/2007,91.27,5110,279220,342,10.352,113490,295.65,,,3.8767,77.436,113.72,118.28
12/21/2007,93.31,5117,275921,343,9.243,99536,309.75,,,3.7169,77.721,113.35,118.65
12/28/2007,96,5078,271865,325,11.698,112117,307.2,,,3.5789,76.218,113.91,118.3
1/4/2008,97.91,5051,265361,316,9.19,121496,315.75,,,3.1481,75.793,114.17,118.96
1/11/2008,92.69,5013,269620,327,6.352,121978,330.4,,,3.0382,75.978,114.42,119.97
1/18/2008,90.57,5042,271917,323,8.126,107959,323.45,,,2.7931,76.383,114.04,119.02
1/25/2008,90.71,4998,275472,318,9.467,86322,318.4,,,2.8444,75.973,114.32,119.4
2/1/2008,88.96,5013,282340,324,8.78,84521,327.3,,,2.8254,75.445,114.93,120.81
2/8/2008,91.77,5044,283406,324,9.15,71344,353.95,,,2.7398,76.67,114.75,120.4
2/15/2008,95.5,5034,287610,339,11.025,104181,353.9,,,2.8346,76.101,114.89,121.12
2/22/2008,98.81,5044,290841,333,10.967,129593,380.3,,,2.9778,75.52,115.32,122.03
2/29/2008,101.84,5050,287785,337,10.05,150488,385.5,,,2.4922,73.714,115.64,123.35
3/7/2008,105.15,5100,294185,337,10.808,144029,392.15,,,2.6036,73.027,115.58,123.44
3/14/2008,110.21,5100,294318,343,11.368,149396,382.8,,,2.3457,71.657,114.77,123.35
3/21/2008,101.84,5103,294406,341,13.086,134386,357.35,,,2.4591,72.709,114.79,122.79
3/28/2008,105.62,5087,301723,350,12.329,112572,383.15,,,2.612,71.678,115.26,122.96
4/4/2008,106.23,5097,298516,362,11.761,98211,395.45,,,2.7725,72.021,115.45,124.6
4/11/2008,110.14,5096,296160,355,12.632,125690,394.45,,,2.6379,71.808,115.78,124.88
4/18/2008,116.69,5101,298581,355,12.151,134744,389.25,,,3.2374,72.012,115.41,125.36
4/25/2008,118.52,5098,302429,360,10.809,149019,391.1,,,3.5182,72.79,115.25,125.38
5/2/2008,116.32,5099,308082,357,9.529,131763,382.05,,,3.5513,73.5,114.99,126.09
5/9/2008,125.96,5128,308258,361,13.766,145146,371.65,,,3.2474,73.05,114.02,123.95
5/16/2008,126.29,5045,302941,381,16.186,148216,382.65,,,3.5708,72.844,114,125.94
5/23/2008,132.19,5128,294058,386,18.975,123236,373.6,180.52,,3.5713,71.888,113.99,125.27
5/30/2008,127.35,5139,289256,390,16.062,103667,360.6,173.86,,3.8699,72.879,114.38,126.43
6/6/2008,138.54,5114,284679,385,15.663,98736,362.3,171.15,,3.6521,72.39,113.98,126.31
6/13/2008,134.86,5145,283437,389,14.122,101533,359.1,167.99,,4.4319,74.146,113.74,125.78
6/20/2008,134.62,5120,284240,384,13.056,92392,383.05,168.4,,4.1681,73.03,114.19,127.44
6/27/2008,140.21,5123,282258,375,12.519,94438,387.8,168.86,,3.971,72.36,114.12,125.44
7/4/2008,145.29,4960,276552,373,10.593,91818,394.9,176.32,,3.8925,72.731,113.93,126.14
7/11/2008,145.08,5139,279504,370,12.321,74795,374,175.23,,3.7983,72.096,115.01,126.77
7/18/2008,128.88,5165,277946,385,12.324,83717,366.9,176.61,,4.0377,72.189,115.14,127.51
7/25/2008,123.26,5160,277865,393,12.076,69498,360.5,180.61,,4.0216,72.86,115.16,128.62
8/1/2008,125.1,5172,279363,392,9.661,79032,357.85,173.1,,3.7624,73.424,114.53,129.27
8/8/2008,115.2,5139,279047,387,10.001,68761,333.3,168.86,,3.7794,75.845,113.6,126.37
8/15/2008,113.77,5078,288437,395,10.64,57157,331.45,162.39,,3.6327,77.18,113.07,125.13
8/22/2008,114.59,4906,288260,395,10.225,60047,345.95,153.38,,3.6726,76.805,112.82,125.5
8/29/2008,115.46,5097,286362,416,14.79,65781,338.7,147.03,,3.538,77.381,112.1,124.67
9/5/2008,106.23,4084,280482,416,17.557,55453,309.85,139.25,,3.3596,78.932,110.87,121.14
9/12/2008,101.18,3988,274154,413,28.52,41190,319.4,125.12,,3.284,78.966,111.03,118.8
9/19/2008,104.55,3932,272634,417,14.85,45231,317.65,116.9,,3.4495,77.68,111.11,116.88
9/26/2008,106.89,3839,276912,423,14.963,41097,307.45,105.49,,3.6423,76.953,110.2,116.26
10/3/2008,93.88,4422,285104,422,8.564,45008,269,101.84,,3.1334,80.313,109.12,109.58
10/10/2008,77.7,4572,290715,429,6.119,27825,214.45,87.12,,3.1057,82.997,106.97,98.88
